t,curve0,curve1,curve2,curve3,curve4,curve5
-3.0999999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-3.08,1.0,1.0,1.0,1.0,1.0,1.0
-3.0599999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-3.04,1.0,1.0,1.0,1.0,1.0,1.0
-3.0199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-3.0,1.0,1.0,1.0,1.0,1.0,1.0
-2.9799999999999995,1.0,1.0,1.0,1.0,1.0,1.0
-2.96,1.0,1.0,1.0,1.0,1.0,1.0
-2.9399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
-2.92,1.0,1.0,1.0,1.0,1.0,1.0
-2.8999999999999995,1.0,1.0,1.0,1.0,1.0,1.0
-2.88,1.0,1.0,1.0,1.0,1.0,1.0
-2.8599999999999994,1.0,1.0,1.0,1.0,1.0,1.0
-2.84,1.0,1.0,1.0,1.0,1.0,1.0
-2.8200000000000003,1.0,1.0,1.0,1.0,1.0,1.0
-2.8,1.0,1.0,1.0,1.0,1.0,1.0
-2.7800000000000002,1.0,1.0,1.0,0.9957283293613577,1.0,1.0
-2.76,1.0,1.0,1.0,1.0,1.0,1.0
-2.74,1.0,1.0,1.0,1.0,1.0,1.0
-2.7199999999999998,1.0,1.0,1.0,1.0,1.0,1.0
-2.7,1.0,1.0,1.0,1.0,1.0,1.0
-2.6799999999999997,1.0,1.0,1.0,1.0,1.0,1.0
-2.66,1.0,1.0,1.0,1.0,1.0,1.0
-2.6399999999999997,1.0,1.0,1.0,1.0,1.0,1.0
-2.62,1.0,1.0,1.0,1.0,1.0,1.0
-2.5999999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-2.58,1.0,1.0,1.0,1.0,1.0,1.0
-2.5599999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-2.54,1.0,1.0,1.0,1.0,1.0,1.0
-2.5199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
-2.5,1.0,1.0,1.0,1.0,1.0,1.0
-2.4799999999999995,1.0,1.0,1.0,1.0,1.0,1.0
-2.46,1.0,1.0,1.0,1.0,1.0,1.0
-2.4399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
-2.42,1.0,1.0,1.0,1.0,1.0,1.0
-2.3999999999999995,1.0,1.0,1.0,1.0,1.0,1.0
-2.38,1.0,1.0,1.0,1.0,1.0,1.0
-2.3599999999999994,1.0,1.0,1.0,1.0,1.0,1.0
-2.34,1.0,1.0,1.0,1.0,1.0,1.0
-2.3200000000000003,1.0,1.0,1.0,0.9958094866677802,1.0,1.0
-2.3,1.0,1.0,1.0,1.0,1.0,1.0
